display_id	evidence_track	theorem_relation	family	family_label	epsilon	n	repetitions	n_perm	root_cell_seed	rejection_rate	monte_carlo_se	wilson_95_low	wilson_95_high	conditioning_index	source_file	source_sha256
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.05	80	150	99	2026182330	0.5	0.040824829046386304	0.42099012028854144	0.5790098797114586	0.22321924207891672	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.05	80	150	99	2026282330	0.5666666666666667	0.04046031434674028	0.4866798706275503	0.6433240967900394	0.22275809878088837	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.05	80	150	99	2026382330	0.5266666666666666	0.04076672571995359	0.44710055355423833	0.6049010334127976	0.22287520098730268	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.05	80	150	99	2026082330	0.5266666666666666	0.04076672571995359	0.44710055355423833	0.6049010334127976	0.2221546633836462	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.1	80	150	99	2026182830	0.29333333333333333	0.037174264295691525	0.22636420924618766	0.37062349175928394	0.4455872608159765	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.1	80	150	99	2026282830	0.4066666666666667	0.040107263588938506	0.33134109612869495	0.4866533494866793	0.44365847580918427	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.1	80	150	99	2026382830	0.4	0.04	0.3250432073625253	0.4799508415110901	0.44415063102920144	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.1	80	150	99	2026082830	0.3933333333333333	0.03988501992997891	0.318759856976774	0.47323379515508224	0.4411764289975791	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.2	80	150	99	2026183830	0.10666666666666667	0.02520435000668058	0.06673036965207342	0.16624622258414684	0.8872102482219356	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.2	80	150	99	2026283830	0.14666666666666667	0.02888546988315008	0.0988943721258812	0.2120846005608929	0.8786907862201422	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	scaled_beta12	Scaled Beta(1,2)	0.2	80	150	99	2026383830	0.15333333333333332	0.029419066631718307	0.10439953770520066	0.2195798317233324	0.8808927786086008	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	uniform	Uniform	0.2	80	150	99	2026083830	0.12	0.0265329983228432	0.07726903087841022	0.18170835484132794	0.868057069342699	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	exponential	Exponential	0.05	320	150	99	2026182570	0.23333333333333334	0.03453393392871123	0.17282631511397295	0.3071578152156679	0.44643848415783344	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
Figure_2	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	half_normal	Half-normal	0.05	320	150	99	2026282570	0.3	0.03741657386773942	0.23240829378731656	0.3775798039599141	0.44551619756177674	results/profile_bridge_family_validation_pilot_20260817.tsv	1b176122b54f052b90ef1e515a230081c02d5cc3f689a44d75eecd8bcf10ddf9
